Cities,States,Abbreviation
North Las Vegas,Nevada,NV
St. Petersburg,Florida,FL
Lubbock,Texas,TX
Irving,Texas,TX
Laredo,Texas,TX
Winston–Salem,North Carolina,NC
Chesapeake,Virginia,VA
Glendale,Arizona,AZ
Garland,Texas,TX
Scottsdale,Arizona,AZ
Norfolk,Virginia,VA
Boise,Idaho,ID
Fremont,California,CA
Spokane,Washington,WA
Santa Clarita,California,CA
Baton Rouge,Louisiana,LA
Richmond,Virginia,VA
Hialeah,Florida,FL
San Bernardino,California,CA
Tacoma,Washington,WA
Modesto,California,CA
Huntsville,Alabama,AL
Des Moines,Iowa,IA
Yonkers,New York,NY
Rochester,New York,NY
Moreno Valley,California,CA
Fayetteville,North Carolina,NC
Fontana,California,CA
Columbus,Georgia,GA
Worcester,Massachusetts,MA
Port St. Lucie,Florida,FL
Little Rock,Arkansas,AR
Augusta,Georgia,GA
Oxnard,California,CA
Birmingham,Alabama,AL
Montgomery,Alabama,AL
Frisco,Texas,TX
Amarillo,Texas,TX
Salt Lake City,Utah,UT
Grand Rapids,Michigan,MI
Huntington Beach,California,CA
Overland Park,Kansas,KS
Glendale,California,CA
Tallahassee,Florida,FL
Grand Prairie,Texas,TX
McKinney,Texas,TX
Cape Coral,Florida,FL
Sioux Falls,South Dakota,SD
Peoria,Arizona,AZ
Providence,Rhode Island,RI
Vancouver,Washington,WA
Knoxville,Tennessee,TN
Akron,Ohio,OH
Shreveport,Louisiana,LA
Mobile,Alabama,AL
Brownsville,Texas,TX
Newport News,Virginia,VA
Fort Lauderdale,Florida,FL
Chattanooga,Tennessee,TN
Tempe,Arizona,AZ
Aurora,Illinois,IL
Santa Rosa,California,CA
Eugene,Oregon,OR
Elk Grove,California,CA
Salem,Oregon,OR
Ontario,California,CA
Cary,North Carolina,NC
Rancho Cucamonga,California,CA
Oceanside,California,CA
Lancaster,California,CA
Garden Grove,California,CA
Pembroke Pines,Florida,FL
Fort Collins,Colorado,CO
Palmdale,California,CA
Springfield,Missouri,MO
Clarksville,Tennessee,TN
Salinas,California,CA
Hayward,California,CA
Paterson,New Jersey,NJ
Alexandria,Virginia,VA
Macon,Georgia,GA
Corona,California,CA
Kansas City,Kansas,KS
Lakewood,Colorado,CO
Springfield,Massachusetts,MA
Sunnyvale,California,CA
Jackson,Mississippi,MS
Killeen,Texas,TX
Hollywood,Florida,FL
Murfreesboro,Tennessee,TN
Pasadena,Texas,TX
Bellevue,Washington,WA
Pomona,California,CA
Escondido,California,CA
Joliet,Illinois,IL
Charleston,South Carolina,SC
Mesquite,Texas,TX
Naperville,Illinois,IL
Rockford,Illinois,IL
Bridgeport,Connecticut,CT
Syracuse,New York,NY
Savannah,Georgia,GA
Roseville,California,CA
Torrance,California,CA
Fullerton,California,CA
Surprise,Arizona,AZ
McAllen,Texas,TX
Thornton,Colorado,CO
Visalia,California,CA
Olathe,Kansas,KS
Gainesville,Florida,FL
West Valley City,Utah,UT
Orange,California,CA
Denton,Texas,TX
Warren,Michigan,MI
Pasadena,California,CA
Waco,Texas,TX
Cedar Rapids,Iowa,IA
Dayton,Ohio,OH
Elizabeth,New Jersey,NJ
Hampton,Virginia,VA
Columbia,South Carolina,SC
Kent,Washington,WA
Stamford,Connecticut,CT
Lakewood,New Jersey,NJ
Victorville,California,CA
Miramar,Florida,FL
Coral Springs,Florida,FL
Sterling Heights,Michigan,MI
New Haven,Connecticut,CT
Carrollton,Texas,TX
Midland,Texas,TX
Norman,Oklahoma,OK
Santa Clara,California,CA
Athens,Georgia,GA
Thousand Oaks,California,CA
Topeka,Kansas,KS
Simi Valley,California,CA
Columbia,Missouri,MO
Vallejo,California,CA
Fargo,North Dakota,ND
Allentown,Pennsylvania,PA
Pearland,Texas,TX
Concord,California,CA
Abilene,Texas,TX
Arvada,Colorado,CO
Berkeley,California,CA
Ann Arbor,Michigan,MI
Independence,Missouri,MO
Rochester,Minnesota,MN
Lafayette,Louisiana,LA
Hartford,Connecticut,CT
College Station,Texas,TX
Clovis,California,CA
Fairfield,California,CA
Palm Bay,Florida,FL
Richardson,Texas,TX
Round Rock,Texas,TX
Cambridge,Massachusetts,MA
Meridian,Idaho,ID
West Palm Beach,Florida,FL
Evansville,Indiana,IN
Clearwater,Florida,FL
Billings,Montana,MT
West Jordan,Utah,UT
Richmond,California,CA
Westminster,Colorado,CO
Manchester,New Hampshire,NH
Lowell,Massachusetts,MA
Wilmington,North Carolina,NC
Antioch,California,CA
Beaumont,Texas,TX
Provo,Utah,UT
North Charleston,South Carolina,SC
Elgin,Illinois,IL
Carlsbad,California,CA
Odessa,Texas,TX
Waterbury,Connecticut,CT
Springfield,Illinois,IL
League City,Texas,TX
Downey,California,CA
Gresham,Oregon,OR
High Point,North Carolina,NC
Broken Arrow,Oklahoma,OK
Peoria,Illinois,IL
Lansing,Michigan,MI
Lakeland,Florida,FL
Pompano Beach,Florida,FL
Costa Mesa,California,CA
Pueblo,Colorado,CO
Lewisville,Texas,TX
Miami Gardens,Florida,FL
Las Cruces,New Mexico,NM
Sugar Land,Texas,TX
Murrieta,California,CA
Ventura,California,CA
Everett,Washington,WA
Temecula,California,CA
Dearborn,Michigan,MI
Santa Maria,California,CA
West Covina,California,CA
El Monte,California,CA
Greeley,Colorado,CO
Sparks,Nevada,NV
Centennial,Colorado,CO
Boulder,Colorado,CO
Sandy Springs,Georgia,GA
Inglewood,California,CA
Edison,New Jersey,NJ
South Fulton,Georgia,GA
Green Bay,Wisconsin,WI
Burbank,California,CA
Renton,Washington,WA
Hillsboro,Oregon,OR
El Cajon,California,CA
Tyler,Texas,TX
Davie,Florida,FL
San Mateo,California,CA
Brockton,Massachusetts,MA
Concord,North Carolina,NC
Jurupa Valley,California,CA
Daly City,California,CA
Allen,Texas,TX
Rio Rancho,New Mexico,NM
Rialto,California,CA
Woodbridge,New Jersey,NJ
South Bend,Indiana,IN
Spokane Valley,Washington,WA
Norwalk,California,CA
Menifee,California,CA
Vacaville,California,CA
Wichita Falls,Texas,TX
Davenport,Iowa,IA
Quincy,Massachusetts,MA
Chico,California,CA
Lynn,Massachusetts,MA
Lee's Summit,Missouri,MO
New Bedford,Massachusetts,MA
Federal Way,Washington,WA
Clinton,Michigan,MI
Edinburg,Texas,TX
Nampa,Idaho,ID
Roanoke,Virginia,VA
